6 columns delimited by 5 spaces.
Voice, start time, frequency, note length, loudness, stereo position.
Note - voice numbers are different here to later files

8	40.05	174.4170435	2.95	27.5	-0.2
9	40.1	697.6681741	1.9	40	0.2
6	41	96.89835752	1	24	0.05
8	41.05	465.1121161	2.95	30	0.65
19	41.1	2790.672697	0.15	29.5	-0.9
6	42	48.44917876	1	26.5	0.05
8	42.05	232.556058	2.95	25	-0.6
19	42.1	2790.672697	0.316666667	27	-0.9
6	43	48.44917876	1	16.5	0.05
8	43.05	465.1121161	2.95	27.5	-0.2
9	43.1	581.3901451	3.9	40	0.2
6	44	96.89835752	1	29	0.05
8	44.05	290.6950726	2.95	30	0.65
19	44.1	2790.672697	0.483333333	29.5	-0.9
6	45	48.44917876	1	19	0.05
8	45.1	174.4170435	2.9	32.5	-0.6
6	46	48.44917876	1	16.5	0.05
8	46.05	348.8340871	2.95	25	-0.2
17	46.1	1395.336348	0.1125	29.5	0.9
6	47	48.44917876	1	19	0.05
8	47.05	232.556058	2.95	27.5	0.65
17	47.1	1395.336348	0.1125	27	0.9
6	48	65.40639133	1	29	0.05
8	48.05	327.0319566	2.95	30	-0.6
19	48.1	2790.672697	0.316666667	32	-0.9
6	49	65.40639133	1	19	0.05
8	49.1	261.6255653	2.9	25	-0.2
6	50	65.40639133	1	24	0.05
8	50.03333333	196.219174	2.966666667	27.5	0.65
7	50.06666667	392.438348	1.933333333	36	-0.1
17	50.1	1395.336348	0.2375	29.5	0.9
6	51	65.40639133	1	16.5	0.05
8	51.05	523.2511306	2.95	30	-0.6
19	51.1	2790.672697	0.15	27	-0.9
6	52	130.8127827	1	29	0.05
8	52.1	392.438348	2.9	32.5	-0.2
6	53	65.40639133	1	19	0.05
8	53.03333333	327.0319566	2.966666667	25	0.65
7	53.06666667	327.0319566	1.933333333	36	-0.1
17	53.1	1395.336348	0.1125	27	0.9
6	54	65.40639133	1	16.5	0.05
8	54.05	261.6255653	2.95	27.5	-0.6
17	54.1	1395.336348	0.3625	32	0.9
6	55	65.40639133	1	26.5	0.05
8	55.1	196.219174	2.9	30	-0.2
